"x","y","aus5_1e_mvg","map","map.level"
140.1776578,-30.2242921142559,19,65.8386659168062,"<100"
140.1062692,-27.2447524916341,19,93.6469973609561,"<100"
143.1283866,-28.8665272229346,19,189.217840285528,"<200"
140.1776578,-26.3961494345583,19,171.546199253627,"<200"
143.3425524,-26.2641445145687,19,283.165538969494,"<300"
143.770884,-28.734522302945,19,269.8524664016,"<300"
142.6762588,-25.3212522289289,19,360.691801525298,"<400"
144.8655092,-27.2824681830597,19,335.595470610119,"<400"
141.391264,-25.1703894632265,19,411.543410528274,"<500"
141.9147804,-25.0006688518113,19,441.806608654204,"<500"
148.9346594,-25.0195266975241,19,523.041480654762,"<600"
148.887067,-25.2081051546521,19,514.762096586682,"<600"
149.0536404,-29.6962724342976,19,657.162089029948,"<700"
149.4343796,-29.0551056800626,19,613.345676967076,"<700"
149.3391948,-30.2431499599687,19,794.74035063244,"<800"
149.6723416,-29.5831253600209,19,700.594511486235,"<800"
150.4576162,-30.1111450399792,19,885.039722260975,"<900"
152.3851084,-31.4500520855877,19,830.120675223214,"<900"
151.2904832,-33.3924101940057,19,925.04647391183,"<1000"
151.3142794,-33.4301258854313,19,914.916951497396,"<1000"
